SKU,Scanned_OH_Count,Description,DRS Cost
S002381288,0,Jewelry,0.6
S002381306,0,WA Pants,3
S002381308,0,WA Pants,3
S002381309,0,WA Pants,3
S002381456,0,WD Dress Short/blashe,3.96
S002381576,0,WA Pants,4.2
S002381592,0,MB Shorts,3.9
S002381661,0,WA Pants/asis,4.2
S002381696,0,MB Denim,6.18
S002381801,0,Jewelry/turtlejamesavery,2
S002381853,0,Jewelry / Necklace Gold Bees,2
S002381854,0,Jewelry / Earrings Gold Bees,1.5
S002381966,0,WT Long Sleeve,2.4
S002381970,0,WT Long Sleeve,2.4
S002381995,0,MB Shorts,2.4
S002382048,0,MB Shorts,2.4
S002382100,0,WB Shorts / 2pc,3
S002382187,0,MT T-Shirt,2.6
S002382219,0,WT LW Sweater,2.7
S002382319,0,WD Dress Short,4.62
S002382330,0,MA Long Sleeve,2.4
S002382455,0,WT Long Sleeve,3
S002382500,0,W Sandals Syn/melissa,1.2
S002382530,0,WA Pants,3.6
S002382618,0,WB Denim,3.9
S002382647,0,W Athletic Shoe,7.6
S002382718,0,WO Light,3.9
S002382843,0,Purse Small / Embassy Black,6.3
S002382868,0,MT T-Shirt/theoffice,1.8
S002382883,0,Beanie/Stranger Things,1.6
S002382884,0,Hat/widebrim buckle,2.4
S002383025,0,WD Dress Long,3.96
S002383125,0,WT S Sleeve,1.33
S002383296,0,WD Dress Short,5.6
S002383300,0,Jewelry / cross,0.6
S002383301,0,Jewelry / cross,0.6
S002383302,0,Jewelry / cross,0.6
S002383306,0,Jewelry / silver,0.6
S002383314,0,Jewelry / keychain short,0.4
S002383382,0,W Sandals Syn/visionreast,2.64
S002383443,0,WB Denim,6.5
S002383508,0,WT T-Shirt L/S,3
S002383550,0,Jewelry/earings,7.6
S002383578,0,WA Shorts,2.97
S002383666,0,MT T-Shirt,2.1
S002383773,0,WB Denim,5.85
S002383836,0,WA Shorts,2.7
S002383881,0,W Sandals Syn / Hot Pink,2.64
